trans_encoder,landmark_pinger,gps,polar_encoder
"(np.float64(-1.5115912062230956), np.float64(0.8601354848421026), 0.08704252439320935)",,"(np.float64(38.87342008617931), np.float64(19.41165218427677))","(1.8001567463020647, 0.04003866450054218)"
"(np.float64(-1.53996876749827), np.float64(0.8260720714848011), 0.06774898896046387)",,"(np.float64(38.5316243480609), np.float64(19.655708428958597))","(1.766656571701291, 0.08386087512300129)"
"(np.float64(-1.591459393146468), np.float64(0.978128280938417), 0.054211638878627205)",,"(np.float64(38.911199169782684), np.float64(19.224192640243057))","(1.7130163058129781, 0.05981594837607007)"
"(np.float64(-1.553280101920506), np.float64(0.8401042491218779), 0.04954147131728456)",,"(np.float64(38.74706767023486), np.float64(19.46868938583079))","(1.7777161519972846, 0.12241419444830583)"
"(np.float64(-1.6577618248657502), np.float64(0.8414171376476576), 0.08226981916883533)",,"(np.float64(38.62855016764115), np.float64(19.46415318407263))","(1.7522907731908672, 0.13211123678450437)"
"(np.float64(-1.5567646816103142), np.float64(0.8115286449719807), 0.04827098133092155)",,"(np.float64(37.928726832715256), np.float64(19.207063842810363))","(1.8235910310214003, 0.10355406757416623)"
"(np.float64(-1.4829471532820626), np.float64(0.8534268648405358), 0.09480823038571581)",,"(np.float64(37.73931101210712), np.float64(21.41395905244113))","(1.8199371600595806, 0.06090296037034453)"
"(np.float64(-1.6175193240190884), np.float64(0.8295240260437841), 0.0740338031839434)",,"(np.float64(36.28333101124943), np.float64(20.177195332288832))","(1.72912181497417, 0.10265879474166775)"
"(np.float64(-1.6229987005469455), np.float64(0.8823041893305131), 0.10221107048858703)",,"(np.float64(37.64460280740465), np.float64(20.862506000880767))","(1.7985612786511682, 0.03447897564283975)"
"(np.float64(-1.6133212047061254), np.float64(0.8342191196658884), 0.10099778206257395)",,"(np.float64(36.8284263904794), np.float64(20.3881880827298))","(1.8677142301972984, 0.08177443946419424)"
"(np.float64(-1.6720361818559657), np.float64(0.7987968450567602), 0.03378419749498428)","{1: (32.59326102541964, -1.8887131063526326), 2: (13.76888506333767, -0.12461410509722887)}","(np.float64(36.261247540719054), np.float64(20.708803645389388))","(1.7873945328476881, 0.11221679074158283)"
"(np.float64(-1.5793931746696916), np.float64(0.7993672676719048), 0.03538810247247982)",,"(np.float64(37.37664091412088), np.float64(19.678367636589304))","(1.7883536421963278, 0.08101429421049419)"
"(np.float64(-1.7321467993901611), np.float64(0.7945108908572622), 0.07492873653081268)",,"(np.float64(36.808589293774446), np.float64(20.4033926600193))","(1.8937209880163186, 0.07625981489587508)"
"(np.float64(-1.5694359860385043), np.float64(0.8381383586392614), 0.0721118640827747)",,"(np.float64(36.25289924876402), np.float64(20.72204361768725))","(1.7759104203115712, 0.0575367541933699)"
"(np.float64(-1.640981907218227), np.float64(0.7595231739931845), 0.07648386571555993)",,"(np.float64(36.65964964007423), np.float64(20.263217973666798))","(1.7398017698485182, 0.065488957305645)"
