time,pose,landmarks
1.6000000000000003,"Pose(pos=Position(x=np.float64(49.81593152084126), y=np.float64(2.8721421199383474)), theta=1.6987963267948967)","{1: Position(x=np.float64(0.18406847915873925), y=np.float64(47.127857880061654)), 2: Position(x=np.float64(-24.81593152084126), y=np.float64(27.127857880061654))}"
1.7000000000000004,"Pose(pos=Position(x=np.float64(49.79224052297034), y=np.float64(3.050575759760688)), theta=1.7067963267948967)","{1: Position(x=np.float64(0.20775947702966135), y=np.float64(46.94942424023931)), 2: Position(x=np.float64(-24.79224052297034), y=np.float64(26.949424240239313))}"
1.8000000000000005,"Pose(pos=Position(x=np.float64(49.76712282931502), y=np.float64(3.228814163775665)), theta=1.7147963267948967)","{1: Position(x=np.float64(0.23287717068497926), y=np.float64(46.77118583622433)), 2: Position(x=np.float64(-24.76712282931502), y=np.float64(26.771185836224333))}"
1.9000000000000006,"Pose(pos=Position(x=np.float64(49.74058004739912), y=np.float64(3.4068459247862597)), theta=1.7227963267948967)","{1: Position(x=np.float64(0.25941995260087936), y=np.float64(46.59315407521374)), 2: Position(x=np.float64(-24.74058004739912), y=np.float64(26.59315407521374))}"
2.0000000000000004,"Pose(pos=Position(x=np.float64(49.71261387595162), y=np.float64(3.584659648820536)), theta=1.7307963267948967)","{1: Position(x=np.float64(0.28738612404838193), y=np.float64(46.415340351179466)), 2: Position(x=np.float64(-24.712613875951618), y=np.float64(26.415340351179463))}"
2.1000000000000005,"Pose(pos=Position(x=np.float64(49.683226104797946), y=np.float64(3.7622439558608485)), theta=1.7387963267948967)","{1: Position(x=np.float64(0.31677389520205423), y=np.float64(46.237756044139154)), 2: Position(x=np.float64(-24.683226104797946), y=np.float64(26.23775604413915))}"
2.2000000000000006,"Pose(pos=Position(x=np.float64(49.65241861474543), y=np.float64(3.9395874805721625)), theta=1.7467963267948967)","{1: Position(x=np.float64(0.3475813852545713), y=np.float64(46.060412519427835)), 2: Position(x=np.float64(-24.65241861474543), y=np.float64(26.06041251942784))}"
2.3000000000000007,"Pose(pos=Position(x=np.float64(49.62019337746291), y=np.float64(4.1166788730294295)), theta=1.7547963267948967)","{1: Position(x=np.float64(0.37980662253708886), y=np.float64(45.88332112697057)), 2: Position(x=np.float64(-24.62019337746291), y=np.float64(25.88332112697057))}"
2.400000000000001,"Pose(pos=Position(x=np.float64(49.58655245535458), y=np.float64(4.293506799443979)), theta=1.7627963267948967)","{1: Position(x=np.float64(0.41344754464542177), y=np.float64(45.70649320055602)), 2: Position(x=np.float64(-24.58655245535458), y=np.float64(25.70649320055602))}"
2.500000000000001,"Pose(pos=Position(x=np.float64(49.55149800142796), y=np.float64(4.470059942888879)), theta=1.7707963267948967)","{1: Position(x=np.float64(0.4485019985720413), y=np.float64(45.52994005711112)), 2: Position(x=np.float64(-24.55149800142796), y=np.float64(25.52994005711112))}"
2.600000000000001,"Pose(pos=Position(x=np.float64(49.51503225915614), y=np.float64(4.6463270040232105)), theta=1.7787963267948967)","{1: Position(x=np.float64(0.48496774084385663), y=np.float64(45.35367299597679)), 2: Position(x=np.float64(-24.515032259156143), y=np.float64(25.35367299597679))}"
2.700000000000001,"Pose(pos=Position(x=np.float64(49.47715756233419), y=np.float64(4.822296701815228)), theta=1.7867963267948967)","{1: Position(x=np.float64(0.5228424376658083), y=np.float64(45.177703298184774)), 2: Position(x=np.float64(-24.47715756233419), y=np.float64(25.177703298184774))}"
2.800000000000001,"Pose(pos=Position(x=np.float64(49.43787633492977), y=np.float64(4.997957774264336)), theta=1.7947963267948968)","{1: Position(x=np.float64(0.5621236650702315), y=np.float64(45.002042225735664)), 2: Position(x=np.float64(-24.43787633492977), y=np.float64(25.002042225735664))}"
2.9000000000000012,"Pose(pos=Position(x=np.float64(49.397191090928025), y=np.float64(5.173298979121857)), theta=1.8027963267948968)","{1: Position(x=np.float64(0.6028089090719746), y=np.float64(44.82670102087814)), 2: Position(x=np.float64(-24.397191090928025), y=np.float64(24.826701020878144))}"
3.0000000000000013,"Pose(pos=Position(x=np.float64(49.35510443417069), y=np.float64(5.3483090946105305)), theta=1.8107963267948968)","{1: Position(x=np.float64(0.6448955658293087), y=np.float64(44.65169090538947)), 2: Position(x=np.float64(-24.35510443417069), y=np.float64(24.65169090538947))}"
3.1000000000000014,"Pose(pos=Position(x=np.float64(49.31161905818943), y=np.float64(5.522976920142701)), theta=1.8187963267948968)","{1: Position(x=np.float64(0.6883809418105713), y=np.float64(44.4770230798573)), 2: Position(x=np.float64(-24.31161905818943), y=np.float64(24.4770230798573))}"
3.2000000000000015,"Pose(pos=Position(x=np.float64(49.266737746033456), y=np.float64(5.697291277037154)), theta=1.8267963267948968)","{1: Position(x=np.float64(0.7332622539665437), y=np.float64(44.30270872296285)), 2: Position(x=np.float64(-24.266737746033456), y=np.float64(24.302708722962848))}"
3.3000000000000016,"Pose(pos=Position(x=np.float64(49.22046337009144), y=np.float64(5.871241009234548)), theta=1.8347963267948968)","{1: Position(x=np.float64(0.7795366299085629), y=np.float64(44.128758990765455)), 2: Position(x=np.float64(-24.220463370091437), y=np.float64(24.12875899076545))}"
